Date,Open,High,Low,Close,MA10,MA50,Daily_Return
1990-07-03,-,-,-,279.02,289.96799999999996,358.42879999999997,0.01799154182495899
1990-07-05,-,-,-,284.04,289.96799999999996,358.42879999999997,0.01799154182495899
1990-07-06,-,-,-,289.04,289.96799999999996,358.42879999999997,0.017603154485283712
1990-07-09,-,-,-,289.69,289.96799999999996,358.42879999999997,0.002248823692222457
1990-07-10,-,-,-,288.69,289.96799999999996,358.42879999999997,-0.0034519658945769693
1990-07-11,-,-,-,293.3,289.96799999999996,358.42879999999997,0.015968686133915222
1990-07-12,-,-,-,296.21,289.96799999999996,358.42879999999997,0.009921581997954121
1990-07-13,-,-,-,296.34,289.96799999999996,358.42879999999997,0.000438877823165873
1990-07-16,-,-,-,287.96,289.96799999999996,358.42879999999997,-0.028278328946480413
1990-07-17,-,-,-,295.39,289.96799999999996,358.42879999999997,0.025802194749270813
1990-07-18,-,-,-,298.23,291.889,358.42879999999997,0.009614408070686364
1990-07-19,-,-,-,301.5,293.635,358.42879999999997,0.010964691680917404
1990-07-20,-,-,-,302.59,294.99,358.42879999999997,0.003615257048092735
1990-07-25,-,-,-,321.76,298.197,358.42879999999997,0.06335305198453356
1990-07-26,-,-,-,323.58,301.686,358.42879999999997,0.005656389855793087
1990-07-27,-,-,-,329.65,305.32099999999997,358.42879999999997,0.01875888497434941
1990-07-30,-,-,-,347.44,310.444,358.42879999999997,0.05396632792355538
1990-08-03,-,-,-,337.29,314.539,358.42879999999997,-0.02921367718167156
1990-08-07,-,-,-,331.45,318.88800000000003,358.42879999999997,-0.017314477156156527
1990-08-08,-,-,-,322.11,321.56,358.42879999999997,-0.028179212550912602
1990-08-09,-,-,-,325.69,324.306,358.42879999999997,0.011114215640619651
1990-08-10,-,-,-,333.35,327.491,358.42879999999997,0.02351929749147974
1990-08-13,-,-,-,348.98,332.13,358.42879999999997,0.04688765561721908
1990-08-16,-,-,-,349.39,334.89300000000003,358.42879999999997,0.0011748524270731586
1990-08-17,-,-,-,347.99,337.334,358.42879999999997,-0.004006983599988523
1990-08-20,-,-,-,353.19,339.688,358.42879999999997,0.014942958130980788
1990-08-21,-,-,-,363.66,341.31000000000006,358.42879999999997,0.029644100908859272
1990-08-22,-,-,-,369.95,344.576,358.42879999999997,0.017296375735577074
1990-08-23,-,-,-,368.14,348.245,358.42879999999997,-0.004892553047709192
1990-08-27,-,-,-,384.78,354.51200000000006,358.42879999999997,0.04520019557776922
1990-08-28,-,-,-,384.39,360.382,358.42879999999997,-0.001013566193669102
1990-08-29,-,-,-,384.88,365.535,358.42879999999997,0.0012747470017431262
1990-08-30,-,-,-,400.06,370.643,358.42879999999997,0.03944086468509678
1990-09-03,-,-,-,407.13,376.41700000000003,358.42879999999997,0.01767234914762783
1990-09-04,-,-,-,392.47,380.865,358.42879999999997,-0.03600815464347984
1990-09-05,-,-,-,389.82,384.528,358.42879999999997,-0.00675210844140961
1990-09-06,-,-,-,396.51,387.813,358.42879999999997,0.01716176696937044
1990-09-07,-,-,-,404.11,391.229,358.42879999999997,0.019167234117676735
1990-09-10,-,-,-,411.11,395.526,358.42879999999997,0.01732201628269525
1990-09-11,-,-,-,422.07,399.255,358.42879999999997,0.026659531512247314
1990-09-12,-,-,-,414.16,402.232,358.42879999999997,-0.01874096713815232
1990-09-14,-,-,-,396.5,403.394,358.42879999999997,-0.04264052540081131
1990-09-18,-,-,-,415.18,404.906,358.42879999999997,0.04711223203026482
1990-09-19,-,-,-,419.46,406.139,358.42879999999997,0.010308781733224137
1990-09-20,-,-,-,421.32,409.024,358.42879999999997,0.004434272636246739
1990-09-21,-,-,-,434.08,413.45,358.42879999999997,0.030285768536979063
1990-09-25,-,-,-,452.36,419.035,358.42879999999997,0.04211205307777366
1990-09-26,-,-,-,436.16,422.23999999999995,358.42879999999997,-0.035812184985409834
1990-09-27,-,-,-,439.72,425.101,358.42879999999997,0.008162142333088873
1990-10-04,-,-,-,439.55,426.849,358.42879999999997,-0.00038660966069314906
1990-10-09,-,-,-,480.38,433.471,362.45599999999996,0.09289045614833347
1990-10-11,-,-,-,449.25,438.746,365.76019999999994,-0.06480286439901739
1990-10-12,-,-,-,429.29,440.157,368.56520000000006,-0.04442960489705061
1990-10-15,-,-,-,398.92,438.10299999999995,370.74979999999994,-0.07074471802278182
1990-10-18,-,-,-,405.72,436.543,373.0904,0.017046024265516824
1990-10-22,-,-,-,383.75,431.51000000000005,374.8994,-0.05415064576555262
1990-10-25,-,-,-,404.15,426.689,377.0582,0.05315960912052109
1990-10-26,-,-,-,397.04,422.77700000000004,379.07219999999995,-0.017592478040331483
1990-10-31,-,-,-,403.66,419.171,381.3862,0.01667338303445498
1990-11-01,-,-,-,412.9,416.50600000000003,383.7364,0.02289055145419394
1990-11-05,-,-,-,416.08,410.076,386.09340000000003,0.007701622668927044
1990-11-07,-,-,-,428.21,407.972,388.62760000000003,0.029153047490867223
1990-11-08,-,-,-,435.18,408.561,391.2794,0.016277060320870618
1990-11-09,-,-,-,430.25,411.69399999999996,393.4492000000001,-0.011328645617905253
1990-11-12,-,-,-,403.06,411.428,395.0388,-0.06319581638582217
1990-11-14,-,-,-,405.7,413.62299999999993,396.55979999999994,0.00654989331613165
1990-11-16,-,-,-,408.34,414.04200000000003,397.7778,0.006507271382795166
1990-11-21,-,-,-,391.83,413.521,398.8686,-0.04043199294705391
1990-11-22,-,-,-,383.69,411.524,399.9134,-0.020774315391879128
1990-11-23,-,-,-,399.67,410.201,401.4646,0.041648205582631936
1990-11-26,-,-,-,405.0,409.093,403.0507999999999,0.013336002201816521
1990-11-27,-,-,-,393.78,405.65,404.2594,-0.027703703703703786
1990-11-29,-,-,-,373.33,399.465,404.7464,-0.05193255117070439
1990-11-30,-,-,-,367.69,393.20899999999995,405.11240000000004,-0.01510727774355125
1990-12-03,-,-,-,371.14,390.01699999999994,405.5754,0.009382904076803866
1990-12-04,-,-,-,359.86,385.433,405.70880000000005,-0.030392843670851932
1990-12-05,-,-,-,359.21,380.52,405.61980000000005,-0.0018062579892180741
1990-12-06,-,-,-,363.06,377.643,405.48199999999997,0.010717964421925963
1990-12-10,-,-,-,371.86,376.46,405.5564,0.024238417892359365
1990-12-11,-,-,-,368.22,373.315,405.2252,-0.009788630129618614
1990-12-12,-,-,-,372.37,370.05199999999996,404.98479999999995,0.011270436152300167
1990-12-13,-,-,-,378.88,368.562,404.86480000000006,0.017482611381153035
1990-12-14,-,-,-,382.16,369.44500000000005,404.5068,0.008657094594594739
1990-12-17,-,-,-,367.42,369.418,403.7126,-0.038570232363408063
1990-12-18,-,-,-,347.93,367.09700000000004,402.8218,-0.0530455609384356
1990-12-19,-,-,-,333.33,364.444,401.69199999999995,-0.0419624637139655
1990-12-21,-,-,-,326.93,361.216,400.3004,-0.019200192001919913
1990-12-24,-,-,-,330.86,357.996,398.8354,0.012020921909889015
1991-01-02,-,-,-,318.95,352.70500000000004,396.9922,-0.035997098470652356
1991-01-03,-,-,-,314.01,347.284,394.83099999999996,-0.015488321053456655
1991-01-07,-,-,-,318.12,341.85900000000004,392.9102,0.013088755135186814
1991-01-09,-,-,-,321.49,336.12,391.41,0.010593486734565616
1991-01-11,-,-,-,326.37,330.541,389.63379999999995,0.015179321285265557
1991-01-14,-,-,-,323.42,326.14099999999996,387.713,-0.009038820970064587
1991-01-23,-,-,-,319.49,323.29699999999997,385.6764,-0.012151382103765984
1991-01-24,-,-,-,312.07,321.171,383.23619999999994,-0.02322451406929804
1991-01-25,-,-,-,306.22,319.1,380.31340000000006,-0.01874579421283673
1991-01-31,-,-,-,314.36,317.45,377.8774000000001,0.026582195806936104
